Название видеоролика;Описание;Количество просмотров;Url видеоролика
Современная астрофизика (часть 1);Лекцию читает Антон Владимирович Бирюков, научный сотрудник лаборатории космических проектов ГАИШ МГУ....;36716;https://www.youtube.com/watch?v=opOO82xtwGE
Лекция Сергея Попова: «Картина мира с точки зрения астрофизика». Часть 2. 10 фактов о вселенной.;;35025;https://www.youtube.com/watch?v=a7PdUCott2g
NASA | Астрофизика | Суперкомпьютер показывает, как экзопланета создает волны;Бета Живописца - очень интересная система, которую мы видим с ребра. Тут явно наличествует одна экзопланета...;3100;https://www.youtube.com/watch?v=zySuSVv6-zc
Попов С. Б. - Астрофизика - Звёзды  (Лекция 6);1. Звёзды 1.1. Звездные параллаксы. 1.2. Измерение расстояний до звезд. 1.3. Пределы точного измерения расстояни...;29950;https://www.youtube.com/watch?v=u4GDROaj4ls
Астрофизик Сергей Попов - О границах Вселенной;Рассказывает Сергей Борисович Попов — российский учёный-астрофизик и популяризатор науки, доктор физико-м...;117042;https://www.youtube.com/watch?v=VGUA8Cklpjo
Сергей Попов - Первичные чёрные дыры;Что такое первичные чёрные дыры и когда в науке появилась идея их существования? Могут ли они составлять...;40004;https://www.youtube.com/watch?v=NhvK1oOLs_E
"Верходанов Олег - Астрофизика. Лекция 3: ""Электромагнитный спектр""";9 апреля 2017 года / Коуровская астрономическая обсерватория УРФУ Верходанов Олег Васильевич Астрофизика....;6957;https://www.youtube.com/watch?v=eU0h0A5hMgU
Кто такой астрофизик;Астрофизик Александр Морозов, доктор физико-математических наук, профессор. Президент негосударственного...;889;https://www.youtube.com/watch?v=WauR2Vubw1k
ЕГЭ 2018 Физика 26 Астрофизика Звезды Теория Задачи;Запись вебинара по подготовке к ЕГЭ по Физике 2018.;245;https://www.youtube.com/watch?v=O67mo19qtcg
NASA | Астрофизика | Ферми, нейтрино, блазар;Ученые НАСА впервые при помощи космического гамма-телескопа Ферми обнаружили внегалактический источник...;406;https://www.youtube.com/watch?v=_X3eCBlx-Cs
Астрофизик Сергей Попов - Черные дыры;Астрофизик Сергей Борисович Попов рассказывает об экзотических объектах Вселенной - черных дырах. Радиопе...;26225;https://www.youtube.com/watch?v=KruNADmni8Q
Лекция Сергея Попова: «Картина мира с точки зрения астрофизика». Часть 1. 10 фактов об астрономии.;;8788;https://www.youtube.com/watch?v=p7-INiKKs20
"""АСТРОФИЗИКА""Лекция №2";Солнечная система,астероиды.звёзды Лектор:Профессор Постнов К.А.;427;https://www.youtube.com/watch?v=mko14N_8T68
Астрономия и астрофизика - оказываеться ППЦ как интересно!;Купить игры намного дешевле можно тут - http://steambuy.com/link.php?id=420968 Наш ТС ts2.voice-server.ru:10702 Мой основной канал по...;2862;https://www.youtube.com/watch?v=y68l364gl7o
Формирование систем (часть1);Лекцию читает Сергей Борисович Попов, астрофизик, доктор физико-математических наук, ведущий сотрудник...;15473;https://www.youtube.com/watch?v=TY_5Y88CxF0
Астрофизика и религия [The School of Life];Религии зачастую уделяют внимание двум вопросам: они пытаются вызвать у нас благоговение и призывают быть...;2774;https://www.youtube.com/watch?v=E-63zwHRLCA
Астрофизика | Чандра | Тур по GW170817;Зрелищное слияние двух нейтронных звезд создало гравитационные волны, открытые прошлой осенью. Скорее...;314;https://www.youtube.com/watch?v=AmuvCl7R3s8
Астрофизика: от звезд до границ;Этот курс посвящен ключевым проблемам современной астрофизики: рождению, эволюции и финальной стадии жизн...;435;https://www.youtube.com/watch?v=pWw8qHbnqJw
"""АСТРОФИЗИКА""Лекция №1";Краткая история современной астрофизики. Пространственные масштабы во Вселенной (Солнечная система-звёзд...;1330;https://www.youtube.com/watch?v=yaKp-fUpCqU
С Попов Астрофизика  что нового открыли в космосе;Астрономия — настолько бурно развивающаяся научная дисциплина, что далеко не каждый специалист способен...;6583;https://www.youtube.com/watch?v=uEmOvoQ9Ack
"""АСТРОФИЗИКА""Лекция №2";Солнечная система,астероиды.звёзды Лектор:Профессор Постнов К.А.;377;https://www.youtube.com/watch?v=A51kMxuD07o
Астрофизика: Ответы на вопросы. Рассказывают Анатолий Засов и Владимир Сурдин. 06.03.2012;;3503;https://www.youtube.com/watch?v=Wv2E6_jTdIE
"Олег Верходанов: ""Современная космология: взгляд радиоастронома""";"Лекция состоялась в Культурно-просветительском центре ""Архэ"" (http://arhe.msk.ru/) при поддержке фонда ""Траектория""(ht...";29748;https://www.youtube.com/watch?v=boFUvQqW_S0
NASA | Астрофизика | Сталкивающиеся нейтронные звезды;Вооруженные суперкомпьютерами ученые могут моделировать столкновения нейтронных звезд и потоки энергии,...;12695;https://www.youtube.com/watch?v=0ssYIiM7tUU
«Высший замысел». Стивен Хокинг | Саммари;Саммари на книгу Стивена Хокинга и Леонарда Млодинова «Высший замысел. Взгляд астрофизика на сотворен...;5298;https://www.youtube.com/watch?v=APDEyLiv1Nc
Нил Деграсс Тайсон про плоскую Землю, людей, религию и НЛО. Цитаты астрофизика!;"Твиттер Нила - https://twitter.com/neiltyson Нил Деграсс Тайсон (англ. Neil deGrasse Tyson; 5 октября 1958, Нью-Йорк) — американский...";2559;https://www.youtube.com/watch?v=RcpZ8pwShuQ
"""Новая"" физика: от фотона до бозона";Сегодня, 8 февраля – День российской науки, в которой физика занимает особое место. Физические законы о...;108846;https://www.youtube.com/watch?v=Nj393_sPpKY
Попов С. Б. - Астрофизика -  Экзопланеты  (Лекция 4);1. Экзопланеты 1.1. Открытие экзопланет. 1.2. Транзитные экзопланеты. 2. Микролинзирование. 3. Астрометрическое...;10444;https://www.youtube.com/watch?v=OorGJOfVilw
"Бирюков Антон - Лекция 1 ""Проблемы и достижения современной астрофизики""";"3 января 2018 года / Лицей ""Вторая школа"" Антон Владимирович Бирюков, научный сотрудник лаборатории космически...";7422;https://www.youtube.com/watch?v=IUpK9QvAoqs
NASA | Астрофизика | Кеплер наблюдает Нептун;Телескоп Кеплер следует за Землей по ее орбите С 2014, Kepler наблюдает в плоскости эклиптики. Так он может наблю...;1224;https://www.youtube.com/watch?v=xjI5iQbVSc0
NASA | Астрофизика | Рентгеновская новая;Очередной сюрприз от рентгеновской обсерватории SWIFT - найдена рентгеновская ... новая - первый раз за все...;954;https://www.youtube.com/watch?v=v2vP5UaFvdE
Астрофизика, квантовая физика. Сознание.;Черновик. 6 минут из 2 часового видео.;2529;https://www.youtube.com/watch?v=ShfBFQO6uro
Гравитационные волны и нейтронные звезды (рассказывает астрофизик Сергей Попов);Конструкция Вселенной, теории, связанные с Общей теорией относительности Эйнштейна, иногда могут быть...;9420;https://www.youtube.com/watch?v=eksOJ-LcC5M
"""АСТРОФИЗИКА""Лекция №10";Эволюция звёзд(продолжение)Солнце. Лектор:Профессор Постнов К.А.;134;https://www.youtube.com/watch?v=gVAYauONJA4
NASA | Астрофизика | Блазарная удача;Редкая удача выпала на долю гамма-астрономов из команды Ферми - они обнаружили гамма-фотоны, пришедшие к...;3581;https://www.youtube.com/watch?v=bh_lMuuOUlg
Наука-102 Астрофизика;Заглянуть за линию горизонта, увидеть ближний космос... Темная материя, черные дыры и кротовые норы, постига...;1222;https://www.youtube.com/watch?v=HYzrlfhpkg0
Астрофизика | Чандра | Холодный фронт в скоплении Персей;Мда... в космосе тоже есть погодные условия, когда холодные фронты сражаются с теплыми за право принести...;397;https://www.youtube.com/watch?v=3phKCZ2s7R0
"Обзор серии книг ""Астрономия и астрофизика"", под ред. Сурдин В.Г.";http://www.astronom.ru/catalog/atlasy_-karty_-knigi.html.;699;https://www.youtube.com/watch?v=pE0zTNcDaP8
Другие Вселенные и реликтовое излучение;Лекцию читает Олег Васильевич Верходанов, ведущий научный сотрудник САО, доктор физ.-мат. наук. Источник...;11703;https://www.youtube.com/watch?v=MyqpozmYvAM
Антон Бирюков - Астрофизика: Как это работает?;"Еще один подарок из Орловского полесья. Приходилось ли вам слышать вопросы: ""Может эти астрономы договарив...";33;https://www.youtube.com/watch?v=T8rani3xSgM
физика ЕГЭ 2018 тренировочная работа 2 разбор задания 24 (астрофизика);"Видеокурс ""Физика с репетитором. Подготовка к ЕГЭ 2018"" Подробная информация ...";1724;https://www.youtube.com/watch?v=VOY5HdmXGV4
"С.Попов ""Астрофизика: что нового открыли в космосе?""";"Лекция из цикла ""Звезды и Галактики"", организованная Лекторием Политехнического музея. В месяц появляется...";24714;https://www.youtube.com/watch?v=CECBQ9W-l2M
Космология, часть 1. Эволюция Вселенной;Тема: Космология, ч.1. Эволюция Вселенной Ведущий: Попов Сергей Борисович Астрофизик, доктор физико-математи...;3458;https://www.youtube.com/watch?v=8P3WuRGTxug
NASA | Астрофизика | Самые далекие блазары;Галактики – блазары являются одними из самых ярких источников во всей Вселенной. Причина такой яркости...;1576;https://www.youtube.com/watch?v=_TzhrNH25TQ
"Верходанов Олег - Лекция ""Космология видимой вселенной""";"9 августа 2017 года / САО РАН Верходанов Олег Васильевич Лекция ""Космология видимой вселенной"" Данная лекция...";13334;https://www.youtube.com/watch?v=2IHbF8ctG_Y
Астрофизика feat. Леня Голубков - Собака;ʕ◉ᴥ◉ʔ #Собакалюбовник (♥‿♥) Новые серии на http://astrofizika.tv Доступно в iTunes: https://goo.gl/pUJx7q VK: https://vk.com/astrofizikaband...;164885;https://www.youtube.com/watch?v=4kPfTfM3ny0
Земля во Вселенной. Очень интересная астрофизика!!;Как именно движется Земля. Почему мы видим смену созвездий. Как астрономически выглядит равноденствие....;226;https://www.youtube.com/watch?v=n_-w99u7vn8
Астрофизика #1;;73;https://www.youtube.com/watch?v=hYAIHRBKa_c
Астрофизика.avi;;930;https://www.youtube.com/watch?v=wCvVzA3Eu6s
"Сергей Попов: ""Астрофизика - двигатель прогресса""";В Петрозаводске с невероятным успехом прошли лекции ученого астрофизика и популяризатора науки, доктора...;1658;https://www.youtube.com/watch?v=jxolghwLobw
Астрофизика - Собака (музыкальный видеоклип от Big Boom Production );Заказывая музыкальный или рекламный ролик в Big Boom Production, вам стоит знать, что каждая наша новая работа всегд...;333;https://www.youtube.com/watch?v=GAc1GlQvlBA
Формирование систем (часть 2);Лекцию читает Сергей Борисович Попов, астрофизик, доктор физико-математических наук, ведущий сотрудник...;3989;https://www.youtube.com/watch?v=g3BAyG-JNyk
"Сергей Попов - Астрофизика (передача ""Ученый свет"")";"Астрофизик Сергей Борисович Попов в радиопередаче ""Ученый свет"". Рассказ об астрофизике.";7365;https://www.youtube.com/watch?v=sT33l7Cb_aU
Астрофизика | Чандра | Тур по Крабовидной Туманности;Что в логотипе Живой Вселенной? - ну конечно же изображение пульсара в центре Крабовидной Туманности в рент...;395;https://www.youtube.com/watch?v=D6qC59BSFaw
Астрофизика - Лето;Подпишись на новые клипы - http://bit.ly/Podpiska @ Google+ http://bit.ly/ElloGoogle @ ВКонтакте http://Vkontakte.ru/ElloTV @ Facebook ...;5036;https://www.youtube.com/watch?v=EyG0IzMrBEQ
Будущее астрономических открытий   Сергей Попов;Астрофизик, популяризатор науки, доктор физико-математических наук, ведущий научный сотрудник Государстве...;26918;https://www.youtube.com/watch?v=gOJc4R5pPTI
Заметки Астрофизика: 19.06.2016.;Лучшие книги об астрономии для детей.;109;https://www.youtube.com/watch?v=-0RpI9TLIKo
НАСА | Астрофизика | Яростные ветра двойного колосса;Тесная двойная пара. Яростные звездные ветра компонентов врезаются друг в друга, производя интенсивные...;2771;https://www.youtube.com/watch?v=8SQ39GiB3KA
Галактики и Вселенная (рассказывает астрофизик Ольга Сильченко);Галактики — гравитационно-связанные системы из звёзд, звёздных скоплений, межзвёздного газа и пыли, тёмной...;10542;https://www.youtube.com/watch?v=e8PkLd_Vq7M
